rankingOfMovie	Year	votes	metascore	movieName
158	1965	246804	74	For_a_Few_Dollars_More
10	2010	2211491	74	Inception
22	2014	1662402	74	Interstellar
128	2021	417890	74	Dune
246	1939	112642	73	Mr._Smith_Goes_to_Washington
146	1995	495286	73	Casino
17	1999	1807421	73	The_Matrix
195	2007	601693	73	Into_the_Wild
150	1988	840595	72	Die_Hard
140	2001	892795	72	A_Beautiful_Mind
190	2008	749991	72	Gran_Torino
210	1998	775912	71	The_Big_Lebowski
189	2011	454687	71	Warrior
181	2016	480632	71	Hacksaw_Ridge
11	2021	323084	71	Spider-Man:_No_Way_Home
231	1976	547820	70	Rocky
93	1997	915708	70	Good_Will_Hunting
137	2005	1380134	70	Batman_Begins
187	2013	654280	70	Prisoners
90	2001	732054	69	Am̩lie
202	2003	1061744	69	Kill_Bill:_Vol._1
88	2009	1357332	69	Inglourious_Basterds
123	2018	441202	69	Green_Book
216	1993	923629	68	Jurassic_Park
96	1995	999264	68	Braveheart
91	2000	804961	68	Requiem_for_a_Dream
61	2018	959699	68	Avengers:_Infinity_War
39	2000	1421894	67	Gladiator
65	2009	374643	67	3_Idiots
73	1980	961617	66	The_Shining
142	1998	561789	66	Lock,_Stock_and_Two_Smoking_Barrels
12	1999	1978491	66	Fight_Club
36	2006	1264981	66	The_Prestige
103	1983	791227	65	Scarface
148	1989	725859	65	Indiana_Jones_and_the_Last_Crusade
28	1995	1544575	65	Se7en
125	2019	133663	65	Klaus
42	1994	1100062	64	L̩on:_The_Professional
208	1999	952624	64	The_Sixth_Sense
129	2010	1221247	63	Shutter_Island
40	1998	1078864	62	American_History_X
197	2005	1081061	62	V_for_Vendetta
26	1999	1223918	61	The_Green_Mile
162	1961	74699	60	Judgment_at_Nuremberg
27	1997	662193	59	Life_Is_Beautiful
56	2019	1117695	59	Joker
104	1983	999891	58	Star_Wars:_Episode_VI_-_Return_of_the_Jedi
224	1982	400109	57	The_Thing
35	2011	810538	57	The_Intouchables
141	2000	821953	55	Snatch
